Soil_Type,Soil_pH,Soil_Moisture,Organic_Carbon,Electrical_Conductivity,Temperature_C,Humidity,Rainfall_mm,Sunlight_Hours,Wind_Speed_kmh,Crop_Type,Crop_Growth_Stage,Season,Irrigation_Type,Water_Source,Field_Area_hectare,Mulching_Used,Previous_Irrigation_mm,Region
0.6666666666666666,0.8176470588235296,0.8207017543859649,0.3153846153846154,0.9205882352941177,0.29599999999999993,0.2129999999999999,0.12945172867711488,0.513888888888889,0.9376636982713463,0.0,0.25,0.6666666666666666,0.25,1.0,0.5034199726402189,1.0,0.5564406779661017,0.25
1.0,0.32352941176470607,0.763157894736842,0.423076923076923,0.16764705882352943,0.12066666666666659,0.2862857142857142,0.5792558746213955,0.3112745098039216,0.7344159245678366,0.0,0.75,0.6666666666666666,0.5,0.75,0.9220246238030095,1.0,0.22135593220338984,1.0
0.3333333333333333,0.34705882352941186,0.5873684210526315,0.0076923076923077205,0.16764705882352943,0.21133333333333326,0.6778571428571427,0.6436176384682172,0.5669934640522877,0.39497118910424306,0.5,1.0,1.0,0.0,0.75,0.06429548563611491,1.0,0.1788135593220339,0.0
0.6666666666666666,0.5588235294117649,0.8700000000000001,0.3615384615384616,0.04117647058823529,0.22099999999999997,0.45142857142857146,0.48263320676506727,0.20588235294117652,0.30225248821372447,0.6666666666666666,0.0,0.6666666666666666,0.5,0.25,0.4514363885088919,0.5,0.9964406779661018,0.75
0.3333333333333333,0.020588235294117574,0.36017543859649126,0.9923076923076922,0.6294117647058824,0.87,0.567,0.8347663955251649,0.4403594771241831,0.3326348873755893,1.0,0.75,1.0,1.0,1.0,0.3180574555403557,0.5,0.027118644067796613,0.25
1.0,0.7764705882352945,0.7173684210526315,0.030769230769230826,0.5088235294117648,0.10799999999999998,0.9502857142857142,0.049045536568092796,0.3031045751633987,0.36563645887899426,0.6666666666666666,0.75,0.6666666666666666,1.0,0.5,0.20725034199726403,1.0,0.7233898305084746,1.0
1.0,0.4676470588235295,0.9794736842105263,0.12307692307692308,0.19705882352941176,0.18966666666666665,0.5268571428571429,0.6248804670088944,0.3161764705882354,0.40492404400209536,0.6666666666666666,0.25,1.0,0.25,0.25,0.24076607387140903,0.5,0.10983050847457627,0.75
0.0,0.3088235294117647,0.8608771929824561,0.7307692307692307,0.9529411764705882,0.5640000000000001,0.5172857142857143,0.021697988644865985,0.3815359477124184,0.22001047668936619,0.0,1.0,0.6666666666666666,0.0,0.25,0.7161422708618331,0.5,0.4337288135593221,1.0
0.6666666666666666,0.9147058823529415,0.08824561403508771,0.09230769230769231,0.09411764705882353,0.45133333333333325,0.7882857142857143,0.6669400754608272,0.2720588235294118,0.5976951283394447,0.3333333333333333,0.0,0.6666666666666666,0.25,0.5,0.4548563611491108,1.0,0.5396610169491526,0.75
0.3333333333333333,0.8323529411764707,0.8891228070175439,0.9076923076923077,0.6205882352941177,0.836,0.4994285714285714,0.6440497577331343,0.08578431372549022,0.6128863279203772,0.0,0.75,1.0,0.25,0.75,0.09781121751025992,0.5,0.4188135593220339,0.25
